iter	RMSE
0	29.18244205
1	28.84165316
2	28.51963757
3	28.19952512
4	27.86548115
5	27.55892733
6	27.28050532
7	26.97374829
8	26.70115137
9	26.39948974
10	26.11023809
11	25.80912225
12	25.54058742
13	25.21474022
14	24.93685144
15	24.64227481
16	24.32027089
17	24.04169284
18	23.74817074
19	23.50417755
20	23.20237268
21	22.91085511
22	22.72096627
23	22.48638565
24	22.21615934
25	21.94777831
26	21.67315096
27	21.41405956
28	21.15446579
29	20.88499844
30	20.62354877
31	20.42118568
32	20.15197527
33	19.95681841
34	19.74726196
35	19.51726634
36	19.28931138
37	19.06043588
38	18.86157804
39	18.63885833
40	18.48327484
41	18.27332237
42	18.04927056
43	17.83933861
44	17.63284071
45	17.46448725
46	17.25897054
47	17.09211498
48	16.90633137
49	16.73723695
50	16.57420388
51	16.40019009
52	16.26728493
53	16.11576711
54	15.9663867
55	15.8155478
56	15.64791462
57	15.47010785
58	15.3046432
59	15.14848945
60	15.01708942
61	14.84285098
62	14.68142879
63	14.53616552
64	14.38021421
65	14.24444273
66	14.10014533
67	13.91965039
68	13.79229428
69	13.6773741
70	13.52391125
71	13.39749466
72	13.26751703
73	13.14520486
74	13.01243227
75	12.85839474
76	12.69999959
77	12.57331498
78	12.47854487
79	12.38139536
80	12.256989
81	12.12707021
82	12.02342283
83	11.90759179
84	11.78721489
85	11.66351526
86	11.54390465
87	11.40886428
88	11.31064374
89	11.21659743
90	11.08943354
91	10.97172838
92	10.85667636
93	10.76601618
94	10.65195981
95	10.55933816
96	10.45815435
97	10.3614949
98	10.26546975
99	10.1694107
100	10.09706353
101	10.0082396
102	9.921880648
103	9.840134134
104	9.758588541
105	9.679104596
106	9.599854235
107	9.514330326
108	9.416844554
109	9.324926296
110	9.250267375
111	9.182033105
112	9.088556983
113	9.015595246
114	8.938487276
115	8.852323494
116	8.783456611
117	8.702315072
118	8.651267498
119	8.577040801
120	8.510804096
121	8.424879461
122	8.350467672
123	8.287994213
