iter	Passed	Remaining
0	171	514018
1	180	270970
2	184	183982
3	186	139989
4	190	114379
5	193	96793
6	197	84492
7	205	77013
8	208	69362
9	211	63206
10	213	57967
11	215	53667
12	217	49943
13	219	46748
14	221	44130
15	224	41861
16	231	40582
17	235	38959
18	239	37635
19	241	36000
20	243	34599
21	248	33637
22	252	32679
23	257	31977
24	260	31036
25	263	30106
26	265	29282
27	270	28702
28	275	28248
29	281	27837
30	286	27401
31	289	26855
32	292	26278
33	295	25817
34	302	25666
35	306	25252
36	328	26297
37	333	25970
38	336	25567
39	340	25208
40	346	25040
41	353	24897
42	356	24542
43	359	24141
44	361	23755
45	363	23372
46	366	23011
47	369	22693
48	372	22448
49	375	22165
50	381	22035
51	386	21931
52	392	21804
53	399	21807
54	402	21564
55	406	21368
56	410	21202
57	415	21078
58	417	20816
59	419	20578
60	423	20397
61	426	20228
62	431	20124
63	437	20064
64	441	19927
65	445	19787
66	447	19589
67	449	19387
68	452	19238
69	456	19100
70	459	18946
71	471	19193
72	474	19039
73	477	18888
74	481	18783
75	486	18723
76	489	18564
77	491	18415
78	494	18286
79	498	18181
80	504	18171
81	507	18073
82	511	17962
83	514	17843
84	517	17734
85	520	17644
86	525	17588
87	544	18009
88	562	18394
89	566	18328
90	569	18206
91	574	18174
92	577	18060
93	580	17958
94	583	17838
95	585	17719
96	588	17622
97	591	17503
98	595	17451
99	599	17382
100	603	17326
101	621	17661
102	626	17618
103	631	17574
104	634	17492
105	651	17777
106	654	17689
107	656	17586
108	660	17515
109	665	17475
110	667	17382
111	672	17335
112	676	17284
113	678	17186
114	683	17136
115	686	17078
116	691	17049
117	694	16963
118	696	16871
119	699	16795
120	706	16804
121	710	16751
122	712	16671
123	717	16640
124	726	16700
125	733	16729
126	735	16644
127	741	16626
128	743	16553
129	746	16481
130	749	16417
131	757	16463
132	763	16466
133	782	16731
134	787	16705
135	790	16644
136	798	16683
137	803	16656
138	806	16595
139	811	16577
140	815	16540
141	823	16578
142	828	16557
143	831	16487
144	834	16439
145	840	16425
146	848	16465
147	852	16421
148	856	16397
149	861	16363
150	865	16321
151	869	16286
152	872	16237
153	876	16194
154	880	16168
155	883	16112
156	894	16195
157	896	16131
158	900	16096
159	905	16079
160	931	16424
161	936	16401
162	938	16342
163	943	16310
164	947	16273
165	951	16236
166	954	16193
167	957	16146
168	963	16145
169	968	16120
170	972	16083
171	984	16193
172	991	16199
173	995	16170
174	1002	16181
175	1006	16151
176	1009	16102
177	1012	16057
178	1016	16016
179	1019	15975
180	1026	15980
181	1028	15928
182	1030	15868
183	1033	15823
184	1036	15776
185	1042	15769
186	1057	15912
187	1070	16017
188	1074	15982
189	1083	16030
190	1089	16016
191	1093	15993
192	1097	15967
193	1102	15942
194	1104	15892
195	1108	15851
196	1115	15864
197	1118	15829
198	1122	15801
199	1131	15843
200	1135	15817
201	1140	15796
202	1147	15810
203	1151	15779
204	1154	15735
205	1158	15715
206	1161	15667
207	1163	15617
208	1165	15565
209	1169	15532
210	1171	15480
211	1175	15452
212	1177	15405
213	1181	15376
214	1186	15368
215	1190	15339
216	1193	15312
217	1197	15283
218	1199	15235
219	1202	15198
220	1204	15149
221	1207	15107
222	1210	15071
223	1213	15037
224	1217	15010
225	1220	14982
226	1227	14998
227	1231	14976
228	1234	14938
229	1238	14918
230	1241	14876
231	1246	14871
232	1250	14851
233	1254	14827
234	1264	14873
235	1270	14877
236	1273	14852
237	1278	14840
238	1284	14842
239	1289	14833
240	1293	14812
241	1299	14809
242	1302	14778
243	1318	14892
244	1323	14879
245	1325	14837
246	1329	14817
247	1340	14870
248	1343	14844
249	1348	14831
250	1353	14822
251	1377	15018
252	1381	14998
253	1394	15081
254	1399	15062
255	1403	15043
256	1407	15027
257	1413	15024
258	1417	15001
259	1421	14977
260	1424	14945
261	1427	14919
262	1430	14886
263	1432	14847
264	1434	14803
265	1437	14778
266	1442	14767
267	1445	14733
268	1448	14703
269	1452	14687
270	1456	14669
271	1459	14637
272	1466	14647
273	1470	14627
274	1475	14621
275	1482	14631
276	1486	14609
277	1491	14602
278	1500	14638
279	1504	14613
280	1506	14581
281	1531	14762
282	1534	14733
283	1537	14703
284	1541	14683
285	1545	14663
286	1550	14661
287	1553	14632
288	1564	14678
289	1569	14663
290	1572	14635
291	1575	14610
292	1578	14586
293	1582	14564
294	1587	14559
295	1593	14556
296	1597	14539
297	1617	14668
298	1623	14662
299	1626	14635
300	1628	14604
301	1631	14576
302	1636	14564
303	1638	14533
304	1641	14505
305	1643	14471
306	1646	14444
307	1648	14411
308	1651	14382
309	1654	14359
310	1659	14348
311	1678	14457
312	1681	14431
313	1686	14429
314	1691	14414
315	1694	14389
316	1696	14359
317	1699	14333
318	1708	14355
319	1711	14335
320	1715	14319
321	1719	14303
322	1723	14280
323	1725	14251
324	1727	14221
325	1730	14193
326	1732	14165
327	1736	14147
328	1740	14134
329	1743	14107
330	1746	14082
331	1749	14062
332	1752	14032
333	1755	14008
334	1758	13990
335	1762	13971
336	1768	13973
337	1771	13948
338	1774	13927
339	1777	13907
340	1780	13882
341	1785	13879
342	1790	13866
343	1793	13844
344	1796	13821
345	1799	13803
346	1803	13790
347	1807	13774
348	1811	13760
349	1814	13738
350	1817	13713
351	1819	13686
352	1822	13665
353	1824	13639
354	1827	13617
355	1832	13607
356	1838	13609
357	1840	13582
358	1843	13564
359	1846	13543
360	1854	13558
361	1858	13543
362	1861	13523
363	1863	13497
364	1868	13491
365	1871	13469
366	1874	13446
367	1876	13422
368	1879	13402
369	1883	13390
370	1886	13366
371	1888	13344
372	1891	13324
373	1894	13299
374	1896	13277
375	1900	13263
376	1903	13243
377	1908	13235
378	1912	13223
379	1917	13222
380	1921	13206
381	1924	13189
382	1927	13171
383	1930	13152
384	1932	13129
385	1937	13120
386	1940	13100
387	1945	13099
388	1950	13094
389	1953	13073
390	1957	13059
391	1960	13043
392	1964	13029
393	1968	13017
394	1970	12997
395	1973	12980
396	1977	12965
397	1981	12954
398	1983	12931
399	1986	12910
400	1989	12892
401	1991	12871
402	1994	12849
403	1996	12826
404	2008	12872
405	2011	12854
406	2024	12896
407	2028	12887
408	2031	12870
409	2036	12864
410	2040	12853
411	2047	12859
412	2053	12864
413	2061	12879
414	2064	12861
415	2083	12941
416	2086	12924
417	2092	12926
418	2101	12943
419	2105	12934
420	2111	12931
421	2113	12913
422	2118	12904
423	2126	12920
424	2130	12907
425	2133	12889
426	2135	12871
427	2138	12850
428	2141	12836
429	2144	12819
430	2149	12809
431	2153	12798
432	2157	12793
433	2161	12782
434	2166	12776
435	2171	12772
436	2177	12768
437	2181	12758
438	2186	12754
439	2192	12754
440	2196	12747
441	2200	12732
442	2204	12725
443	2214	12750
444	2220	12749
445	2224	12738
446	2229	12733
447	2234	12730
448	2239	12722
449	2245	12724
450	2250	12721
451	2254	12706
452	2259	12704
453	2262	12687
454	2265	12669
455	2267	12652
456	2271	12641
457	2276	12637
458	2281	12630
459	2285	12618
460	2292	12623
461	2301	12645
462	2304	12628
463	2308	12618
464	2312	12606
465	2319	12613
466	2326	12616
467	2328	12599
468	2331	12581
469	2334	12566
470	2338	12554
471	2341	12541
472	2347	12541
473	2352	12538
474	2359	12541
475	2362	12526
476	2366	12516
477	2372	12515
478	2378	12516
479	2382	12506
480	2385	12490
481	2388	12478
482	2392	12465
483	2395	12452
484	2400	12449
485	2404	12439
486	2410	12437
487	2413	12421
488	2415	12402
489	2417	12385
490	2420	12366
491	2423	12352
492	2427	12343
493	2432	12339
494	2438	12338
495	2443	12333
496	2450	12341
497	2454	12330
498	2456	12313
499	2460	12304
500	2465	12299
501	2471	12298
502	2475	12288
503	2480	12284
504	2484	12273
505	2487	12261
